time;Lat;Lon;length;width;min_lon;max_lon;min_lat;max_lat;min_max_zeta_850;min_hgt_850;max_wind_850
2005-08-08-0000;-22.5;-45.0;15;15;-52.5;-37.5;-30.0;-15.0;-1.7072328161747608e-05;1563.0;8.91066837310791
2005-08-08-0600;-22.5;-45.0;15;15;-52.5;-37.5;-30.0;-15.0;-1.4104279938148741e-05;1558.0;9.49210262298584
2005-08-08-1200;-22.5;-45.0;15;15;-52.5;-37.5;-30.0;-15.0;-2.330742217568168e-05;1549.0;8.902246475219727
2005-08-08-1800;-22.5;-45.0;15;15;-52.5;-37.5;-30.0;-15.0;-2.3195258121284615e-05;1543.0;9.060904502868652
2005-08-09-0000;-22.5;-45.0;15;15;-52.5;-37.5;-30.0;-15.0;-3.199103453604458e-05;1549.0;13.524791717529297
2005-08-09-0600;-22.5;-45.0;15;15;-52.5;-37.5;-30.0;-15.0;-3.504314422395284e-05;1543.0;17.161876678466797
2005-08-09-1200;-22.5;-45.0;15;15;-52.5;-37.5;-30.0;-15.0;-4.2655196521268826e-05;1529.0;19.448650360107422
2005-08-09-1800;-22.5;-45.0;15;15;-52.5;-37.5;-30.0;-15.0;-4.625514540904247e-05;1521.0;17.7504940032959
2005-08-10-0000;-22.5;-45.0;15;15;-52.5;-37.5;-30.0;-15.0;-5.9260335543840893e-05;1512.0;17.00735092163086
2005-08-10-0600;-27.0;-45.0;15;15;-52.5;-37.5;-34.5;-19.5;-7.474260249285397e-05;1502.0;18.309560775756836
2005-08-10-1200;-27.5;-45.0;15;15;-52.5;-37.5;-35.0;-20.0;-8.194269572888915e-05;1497.0;18.202472686767578
2005-08-10-1800;-27.5;-45.0;15;15;-52.5;-37.5;-35.0;-20.0;-6.953558580771942e-05;1498.0;18.439088821411133
2005-08-11-0000;-28.0;-45.0;15;15;-52.5;-37.5;-35.5;-20.5;-7.125475674199783e-05;1502.0;17.88099479675293
2005-08-11-0600;-29.0;-45.0;15;15;-52.5;-37.5;-36.5;-21.5;-6.873491616562796e-05;1504.0;19.185932159423828
2005-08-11-1200;-29.0;-45.0;15;15;-52.5;-37.5;-36.5;-21.5;-6.894836760286494e-05;1505.0;18.398096084594727
2005-08-11-1800;-30.0;-45.0;15;15;-52.5;-37.5;-37.5;-22.5;-7.023937756777472e-05;1496.0;19.674348831176758
2005-08-12-0000;-30.0;-45.0;15;15;-52.5;-37.5;-37.5;-22.5;-6.0171736855297147e-05;1510.0;18.890474319458008
2005-08-12-0600;-32.5;-42.5;15;15;-50.0;-35.0;-40.0;-25.0;-5.748936158322243e-05;1493.0;20.869115829467773
2005-08-12-1200;-32.5;-44.0;15;15;-51.5;-36.5;-40.0;-25.0;-5.8605688021025995e-05;1488.0;17.704519271850586
2005-08-12-1800;-32.5;-42.5;15;15;-50.0;-35.0;-40.0;-25.0;-5.515230614697231e-05;1475.0;22.842941284179688
2005-08-13-0000;-35.0;-42.5;15;15;-50.0;-35.0;-42.5;-27.5;-4.7430156666041995e-05;1475.0;19.154111862182617
2005-08-13-0600;-35.0;-42.5;15;15;-50.0;-35.0;-42.5;-27.5;-4.622679697040889e-05;1462.0;15.654073715209961
2005-08-13-1200;-36.0;-42.5;15;15;-50.0;-35.0;-43.5;-28.5;-4.189963626081301e-05;1462.0;13.322161674499512
2005-08-13-1800;-36.0;-42.5;15;15;-50.0;-35.0;-43.5;-28.5;-4.085621435964407e-05;1461.0;14.934523582458496
2005-08-14-0000;-35.0;-42.5;15;15;-50.0;-35.0;-42.5;-27.5;-3.542713856255546e-05;1471.0;11.494781494140625
2005-08-14-0600;-35.0;-42.5;15;15;-50.0;-35.0;-42.5;-27.5;-3.141093014604908e-05;1478.0;10.735455513000488
2005-08-14-1200;-35.0;-40.0;15;15;-47.5;-32.5;-42.5;-27.5;-2.7801444557998263e-05;1495.0;11.686744689941406
2005-08-14-1800;-35.0;-35.0;15;15;-42.5;-27.5;-42.5;-27.5;-2.227588157936184e-05;1510.0;16.383527755737305
2005-08-15-0000;-35.0;-35.0;15;15;-42.5;-27.5;-42.5;-27.5;-2.2162621864624854e-05;1523.0;12.007497787475586
2005-08-15-0600;-35.0;-35.0;15;15;-42.5;-27.5;-42.5;-27.5;-2.698541763061085e-05;1527.0;13.182185173034668
2005-08-15-1200;-35.0;-35.0;15;15;-42.5;-27.5;-42.5;-27.5;-1.551695820416266e-05;1490.0;20.406126022338867
2005-08-15-1800;-35.0;-35.0;15;15;-42.5;-27.5;-42.5;-27.5;-4.237408426393737e-05;1445.0;25.12468910217285
